Status,Other,Other-clean,
Professor / Associate professor / Assistant professor,Bash,Bash,
Other,BayesTraits,BayesTraits,
Professor / Associate professor / Assistant professor,BBEdit,BBEdit,
PhD student,Beaker,Beaker,
PhD student,BEAST,BEAST,
Postdoc,BEAST,BEAST,
Professor / Associate professor / Assistant professor,bedtools,bedtools,
PhD student,Berkley Madonna,Berkley Madonna,
Librarian,BibExcel,BibExcel,
PhD student,Bio image lab,Bio image lab,
Professor / Associate professor / Assistant professor,Bio3D,Bio3D,
Professor / Associate professor / Assistant professor,Bioclipse,Bioclipse,
Professor / Associate professor / Assistant professor,Bioconductor,Bioconductor,
Bachelor/Master student,BioEdit,BioEdit,
PhD student,BioEdit,BioEdit,
Postdoc,BioEdit,BioEdit,
Professor / Associate professor / Assistant professor,BioEdit,BioEdit,
Professor / Associate professor / Assistant professor,BioEdit,BioEdit,
Professor / Associate professor / Assistant professor,BioEdit,BioEdit,
PhD student,bioinformatics software,bioinformatics tools,
Other,bioinformatics tools,bioinformatics tools,
Postdoc,bioinformatics tools,bioinformatics tools,
Postdoc,bioinformatics tools,bioinformatics tools,
Professor / Associate professor / Assistant professor,bioinformatics tools,bioinformatics tools,
PhD student,BioJS,BioJS,
PhD student,Bionode,Bionode,
PhD student,Bionode,Bionode,
Bachelor/Master student,BioNumerics,BioNumerics,
Other,BioNumerics,BioNumerics,
Professor / Associate professor / Assistant professor,BioNumerics,BioNumerics,
Professor / Associate professor / Assistant professor,BioNumerics,BioNumerics,
PhD student,BioPython,BioPython,
Industry / Government,Biostat,Biostat,
Professor / Associate professor / Assistant professor,Biostat,Biostat,
Other,BioStatFlow,BioStatFlow,
Other,BioVeL,BioVeL,
PhD student,BLAST,NCBI Blast,
Postdoc,BLAST,NCBI Blast,
Professor / Associate professor / Assistant professor,BLAST,NCBI Blast,
Professor / Associate professor / Assistant professor,BLAST,NCBI Blast,
Professor / Associate professor / Assistant professor,BLAST,NCBI Blast,
Professor / Associate professor / Assistant professor,BLAST,NCBI Blast,
PhD student,blog,blog,
Postdoc,Boldretriever (Python),Boldretriever (Python),
Professor / Associate professor / Assistant professor,BoneJ,BoneJ,
Professor / Associate professor / Assistant professor,BRAHMS,BRAHMS,
Postdoc,Brain Voyager,Brain Voyager,
Professor / Associate professor / Assistant professor,BRB array tools,BRB array tools,
Professor / Associate professor / Assistant professor,brenda,brenda,
Other,BugsCEP,BugsCEP,
Other,BugsCEP,BugsCEP,
Other,by hand,by hand,
Postdoc,by hand,by hand,
Postdoc,by hand,by hand,
Professor / Associate professor / Assistant professor,by hand,by hand,
Professor / Associate professor / Assistant professor,by hand,by hand,
Librarian,C/C++,C/C++,
Other,C/C++,C/C++,
Other,C/C++,C/C++,
Other,C/C++,C/C++,
Other,C/C++,C/C++,
Other,C/C++,C/C++,
Other,C/C++,C/C++,
PhD student,C/C++,C/C++,
PhD student,C/C++,C/C++,
PhD student,C/C++,C/C++,
PhD student,C/C++,C/C++,
PhD student,C/C++,C/C++,
PhD student,C/C++,C/C++,
PhD student,C/C++,C/C++,
PhD student,C/C++,C/C++,
PhD student,C/C++,C/C++,
PhD student,C/C++,C/C++,
Postdoc,C/C++,C/C++,
Postdoc,C/C++,C/C++,
Postdoc,C/C++,C/C++,
Postdoc,C/C++,C/C++,
Postdoc,C/C++,C/C++,
Postdoc,C/C++,C/C++,
Postdoc,C/C++,C/C++,
Professor / Associate professor / Assistant professor,C/C++,C/C++,
Professor / Associate professor / Assistant professor,C/C++,C/C++,
Professor / Associate professor / Assistant professor,C/C++,C/C++,
Professor / Associate professor / Assistant professor,C/C++,C/C++,
Professor / Associate professor / Assistant professor,C/C++,C/C++,
Professor / Associate professor / Assistant professor,C/C++,C/C++,
Professor / Associate professor / Assistant professor,C/C++,C/C++,
Professor / Associate professor / Assistant professor,C/C++,C/C++,
Professor / Associate professor / Assistant professor,C/C++,C/C++,
Professor / Associate professor / Assistant professor,C/C++,C/C++,
Professor / Associate professor / Assistant professor,C/C++,C/C++,
Professor / Associate professor / Assistant professor,C/C++,C/C++,
Professor / Associate professor / Assistant professor,C/C++,C/C++,
PhD student,C#,C#,
PhD student,C2,C2,
PhD student,C2,C2,
Professor / Associate professor / Assistant professor,C2,C2,
Professor / Associate professor / Assistant professor,C2,C2,
Bachelor/Master student,Calc,Calc,
Librarian,calculator,calculator,
Professor / Associate professor / Assistant professor,calculator,calculator,
Other,Canoco,Canoco,
Other,Canoco,Canoco,
PhD student,Canoco,Canoco,
PhD student,Canoco,Canoco,
Postdoc,Canoco,Canoco,
Professor / Associate professor / Assistant professor,Canoco,Canoco,
Professor / Associate professor / Assistant professor,Canoco,Canoco,
Professor / Associate professor / Assistant professor,Canoco,Canoco,
Professor / Associate professor / Assistant professor,Canoco,Canoco,
Professor / Associate professor / Assistant professor,Canoco,Canoco,
Professor / Associate professor / Assistant professor,Canoco,Canoco,
Professor / Associate professor / Assistant professor,Canoco,Canoco,
Professor / Associate professor / Assistant professor,Canoco,Canoco,
Professor / Associate professor / Assistant professor,Canoco,Canoco,
Professor / Associate professor / Assistant professor,Canoco,Canoco,
Professor / Associate professor / Assistant professor,CANODRAW,CANODRAW,
PhD student,Canopy,Canopy,
Professor / Associate professor / Assistant professor,Canvas,Canvas,
Postdoc,Caret,Caret,
PhD student,CCP4,CCP4,
Postdoc,CCP4,CCP4,
Industry / Government,CCP4i,CCP4,
Professor / Associate professor / Assistant professor,CellProfiler,CellProfiler,
Bachelor/Master student,cervus,cervus,
PhD student,CFX Manager,CFX Manager,
PhD student,CFX Manager Bio-Rad,CFX Manager,
PhD student,Chaste libraries (C++),Chaste libraries (C++),
Professor / Associate professor / Assistant professor,Chelator,Chelator,
PhD student,ChemBioDraw,ChemBioDraw,
Other,ChemDraw,ChemDraw,
Professor / Associate professor / Assistant professor,ChemDraw,ChemDraw,
PhD student,chemtics,chemtics,
PhD student,Chimera,Chimera,
PhD student,Chimera,Chimera,
Professor / Associate professor / Assistant professor,Chimera,Chimera,
Postdoc,Chromas Lite,Chromas Lite,
Postdoc,Chromas Lite,Chromas Lite,
Other,Cipres,Cipres,
PhD student,Cipres,Cipres,
Postdoc,Cipres,Cipres,
Professor / Associate professor / Assistant professor,Cipres,Cipres,
Postdoc,CIRCUITSCAPE,CIRCUITSCAPE,
Other,CitNetExplorer,CitNetExplorer,
Postdoc,Clampfit,Clampfit,
PhD student,CLC Genomics Workbench,CLC Genomics Workbench,
Professor / Associate professor / Assistant professor,CLC Genomics Workbench,CLC Genomics Workbench,
Professor / Associate professor / Assistant professor,CLC Genomics Workbench,CLC Genomics Workbench,
Postdoc,CLC Sequence Viewer,CLC Sequence Viewer,
Bachelor/Master student,CLCBio,CLCBio,
PhD student,Clojure,Clojure,
Professor / Associate professor / Assistant professor,CloneManager,CloneManager,
Bachelor/Master student,Clustal,Clustal,
Postdoc,Cluster3.0,Cluster3.0,
Bachelor/Master student,CoDaPack,CoDaPack,
Industry / Government,code,code,
PhD student,coding,code,
Other,codon code,codon code,
Other,Coh•À_ris Spad,Coh•À_ris Spad,
Postdoc,CoHort Software,CoHort Software,
Other,command line tools,command line tools,
PhD student,command line tools,command line tools,
PhD student,command line tools,command line tools,
PhD student,command line tools,command line tools,
Postdoc,command line tools,command line tools,
Postdoc,command line tools,command line tools,
Postdoc,command line tools,command line tools,
Postdoc,Comprehensive Meta-analysis (Biostat),Biostat,
Professor / Associate professor / Assistant professor,Compusyn,Compusyn,
Postdoc,computer programs,software,
PhD student,COMSOL,COMSOL,
Librarian,Concordance,Concordance,
Professor / Associate professor / Assistant professor,connected software,software,
Professor / Associate professor / Assistant professor,constructing phylogenetic trees,constructing phylogenetic trees,
Industry / Government,COOT,COOT,
Other,COOT,COOT,
PhD student,COOT,COOT,
Postdoc,COOT,COOT,
Professor / Associate professor / Assistant professor,COPASI,COPASI,
Postdoc,CorelDraw,CorelDraw,
Other,Cricket Graph,Cricket Graph,
Postdoc,Cropstat,Cropstat,
Postdoc,CT software,CT software,
Industry / Government,curveexpert,curveexpert,
Postdoc,custom code,custom code,
Professor / Associate professor / Assistant professor,custom code,custom code,
Professor / Associate professor / Assistant professor,custom code,custom code,
Industry / Government,Custom in-house tools,custom tools,
Industry / Government,custom software,custom software,
Professor / Associate professor / Assistant professor,custom software,custom software,
Professor / Associate professor / Assistant professor,custom software,custom software,
Other,custom tools,custom tools,
Professor / Associate professor / Assistant professor,custom tools,custom tools,
Postdoc,CutAdapt,CutAdapt,
PhD student,Cytoscape,Cytoscape,
PhD student,Cytoscape,Cytoscape,
Postdoc,Cytoscape,Cytoscape,
Professor / Associate professor / Assistant professor,Cytoscape,Cytoscape,
